text,Comment,Pattern Category,Pattern Type,Where in website?,label
FLASH SALE | LIMITED TIME ONLY Shop Now,Product detail,Urgency,Limited-time Message,Product Page,1
Pillowcases & Shams,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Write a review,Account creation,Not Dark Pattern,Hard to Cancel,Product Page,0
"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",Email to cancel,Not Dark Pattern,Hard to Cancel,Other Page,0
 newsletter signup (privacy policy) ,Cart,Not Dark Pattern,Pressured Selling,Product Page,0
In demand,Product detail,Scarcity,High-demand Message,Product Page,1
"We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",Account creation,Not Dark Pattern,Hard to Cancel,Checkout Process,0
Hurry! Only 2 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1
In Stock only 3 left,Product detail,Scarcity,Low-stock Message,Product Page,1
International Shipping Policy,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
"Clothes, Shoes & Accessories",Doesn't tell you about the recurring charge until final review.,Not Dark Pattern,Confirmshaming,Product Page,0
Hurry! Only 2 left,Product detail,Scarcity,Low-stock Message,Product Page,1
Primary Arms Scopes,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
ONLY 8 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1
MoTrail,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
LCD Ribbon Cables,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,Banner,Not Dark Pattern,Countdown Timer,Checkout Process,0
OUR BEST SELLING GOGGLE,Add product to cart results in a popup asking you to also buy the Glasses,Misdirection,High-demand Message,Product Page,1
"1,142 people have added to cart recently",Product detail,Social Proof,Activity Notification,Product Page,1
Limited Availability,Product detail,Scarcity,Low-stock Message,Product Page,1
No thanks. I don't like free things...,Popup,Misdirection,Confirmshaming,Product Page,1
 read you will want to read -- Five Book Group Favourites * Sunday Post *,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
 Supply & Demand ,Product detail,Not Dark Pattern,High-demand Message,Product Page,0
"Michael in Pontiac, United States purchased a  ",Periodic popup,Social Proof,Activity Notification,Product Page,1
Bathroom Lighting,Account creation,Not Dark Pattern,Hard to Cancel,Product Page,0
 Shop Optics > ,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
9 people are viewing this.,Product detail,Social Proof,Activity Notification,Product Page,1
"894 Claimed! Hurry, only a few left!",Product detail,Scarcity,Low-stock Message,Product Page,1
77 PEOPLE LIKE THIS,Product detail,Social Proof,Activity Notification,Product Page,1
Girls Trousers,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Specs,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
4 items left,Product detail,Scarcity,Low-stock Message,Product Page,1
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,Popup,Urgency,Confirmshaming,Product Page,1
Offer ends in,Product detail,Urgency,Countdown Timer,Product Page,1
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",Periodic popup,Social Proof,Activity Notification,Product Page,1
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Periodic popup,Social Proof,Activity Notification,Product Page,1
More Info,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
Daystate FAC Air Rifles,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.",Call/email to cancel,Not Dark Pattern,Hard to Cancel,Other Page,0
24 sold in last 24 hours.,Product image,Social Proof,Activity Notification,Product Page,1
 #CERTIFIED_FACE_MASKS ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Shop the Look,Banner,Not Dark Pattern,Confirmshaming,Product Page,0
Kicks Remotes,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Only 7 left in stock.,Product detail,Scarcity,Low-stock Message,Product Page,1
Whey Protein Isolate,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Cases for Magsafe Refine by Product Type: Cases for Magsafe ,Product detail,Not Dark Pattern,Limited-time Message,Product Page,0
Product Info,Product detail,Not Dark Pattern,Activity Notification,Product Page,0
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Popup,Social Proof,Confirmshaming,Product Page,1
 Sign In With Google ,"Clicking on the offer for free shipping without clicking ""learn more"" doesn't reveal additional costs",Not Dark Pattern,Pressured Selling,Product Page,0
Shop All,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
 You can change your preference here Shop for Select an age ,"Call to cancel. On clicking ""Learn more"".",Not Dark Pattern,Hard to Cancel,Cart Page,0
1 in Stock,Product detail,Scarcity,Low-stock Message,Product Page,1
 shop all ,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
Low Stock Alert: Only 8 left in inventory,Product detail,Scarcity,Low-stock Message,Product Page,1
Womens Platform Shoes,Doesn't tell you about the recurring charge until final review.,Not Dark Pattern,Confirmshaming,Product Page,0
Screen print graphics,Cart,Not Dark Pattern,Hard to Cancel,Cart Page,0
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",Periodic popup,Social Proof,Activity Notification,Product Page,1
Thin and tough - protects from minor scratches,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
Kimberly R.,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
I don't feel lucky,Side wheel pop-up,Misdirection,Confirmshaming,Product Page,1
Only 3 items left,Product detail,Scarcity,Low-stock Message,Product Page,1
 Butterscotch Cakes ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",Product detail,Social Proof,Low-stock Message,Product Page,1
Awntech New Yorker Window/Entry Slope Awnin ...,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
45 ADDED TO BAG IN THE PAST 24 HOURS,Product image,Social Proof,Activity Notification,Product Page,1
87% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Low-stock Message,Product Page,1
HURRY! £32.99 UK DELIVERY ENDS SOON,No deadline,Urgency,Limited-time Message,Product Page,1
ONLY 3 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1
8 items left,Product detail,Scarcity,Low-stock Message,Product Page,1
19 people viewed this product per day,Product detail,Social Proof,Activity Notification,Product Page,1
 Irwin ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
96 ITEM(S) LEFT IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1
__________,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Only 1 left In Stock,Product detail,Scarcity,Low-stock Message,Product Page,1
Availability: Only 4 Left!,Product detail,Scarcity,Low-stock Message,Product Page,1
 Personalised Gifts ,Cart,Not Dark Pattern,Pressured Selling,Cart Page,0
A customer service specialist will contact you soon.,Product detail,Not Dark Pattern,Low-stock Message,Cart Page,0
Your order is reserved for 09:54 minutes!,Conversion pirate,Urgency,Countdown Timer,Checkout Process,1
 Screws & Other Fixings ,Product detail,Not Dark Pattern,Activity Notification,Product Page,0
Use the domain shortly after payment,Banner,Not Dark Pattern,Countdown Timer,Product Page,0
Office Supplies & Decor,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
This size has only 1 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1
Arrow,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Returns an Item,Product detail,Not Dark Pattern,Low-stock Message,Product Page,0
HOT PRODUCT Over 250 people are looking at this item.,Product detail,Social Proof,Activity Notification,Product Page,1
I don't want to save money,Popup,Misdirection,Confirmshaming,Product Page,1
HURRY! ONLY 2 LEFT IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1
Hair type: Curly,Call to cancel subscription,Not Dark Pattern,Hard to Cancel,Cart Page,0
DEAL ENDS IN 40:55:13,Decrements at scheduled intervals. Product detail.,Urgency,Countdown Timer,Product Page,1
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Periodic popup,Social Proof,Activity Notification,Product Page,1
Only 1 Left,Product detail,Scarcity,Low-stock Message,Product Page,1
Search for similiar products,Product detail,Not Dark Pattern,Low-stock Message,Product Page,0
Only 33 left,Product detail,Scarcity,Low-stock Message,Product Page,1
FAMILY SHADE PACK | PICK YOUR PACK,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
Promaster City Remotes,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
"Hurry, only a few left!",Product detail,Scarcity,Low-stock Message,Product Page,1
 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,Account creation,Not Dark Pattern,Hard to Cancel,Other Page,0
Only 11 left!,Product detail,Scarcity,Low-stock Message,Product Page,1
Hurry! Only 6 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1
40 users are currently active on our website just now.,Lower left corner,Social Proof,Activity Notification,Product Page,1
Hair Tools,Call to cancel subscription,Not Dark Pattern,Hard to Cancel,Cart Page,0
Email Address*,Double negative,Not Dark Pattern,Countdown Timer,Product Page,0
 Send Us Your Jersey ,Email to cancel,Not Dark Pattern,Hard to Cancel,Other Page,0
 View All Home Office Furniture ,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
Search Result:Search Results: ,Cart,Not Dark Pattern,Pressured Selling,Cart Page,0
90% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Low-stock Message,Product Page,1
Tube Tops,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",Periodic popup,Social Proof,Activity Notification,Product Page,1
Hair type: Wavy,Call to cancel subscription,Not Dark Pattern,Hard to Cancel,Cart Page,0
7 people looked at this product in the last 24 hours.,Product image,Social Proof,Activity Notification,Product Page,1
Glow Gear,Adding to cart results in insurance popup,Not Dark Pattern,Pressured Selling,Product Page,0
18 In Stock,Product detail,Scarcity,Low-stock Message,Product Page,1
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,Periodic popup,Social Proof,Activity Notification,Product Page,1
00:15:07:45,Product detail,Urgency,Countdown Timer,Product Page,1
"No, I'll rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,1
Only 9 Left.,Product detail,Scarcity,Low-stock Message,Product Page,1
Deals of the Week,Popup,Not Dark Pattern,Activity Notification,Product Page,0
" ... It covers love and loss, friendship and pain through ",Popup,Not Dark Pattern,Pressured Selling,Product Page,0
1 person is viewing this,Product detail,Social Proof,Activity Notification,Product Page,1
Your order is reserved for 09:14 minutes! ,Conversion Pirate.,Urgency,Countdown Timer,Checkout Process,1
" Gift TypeFlowers, Cakes, Plants, etc. ",Popup,Not Dark Pattern,Confirmshaming,Product Page,0
 CAMILLA World ,Account creation,Not Dark Pattern,Pressured Selling,Cart Page,0
Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,After adding to cart you're shown a full page popup,Not Dark Pattern,Activity Notification,Product Page,0
Fun Treat Tossing,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
Limited time remaining!,Product detail,Urgency,Low-stock Message,Product Page,1
"No thanks, I'll pay full price",Popup,Misdirection,Confirmshaming,Product Page,1
Your shopping bag is empty...,Product image,Not Dark Pattern,Activity Notification,Product Page,0
Trousers & Chinos,Banner,Not Dark Pattern,Pressured Selling,Product Page,0
Only 7 left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1
Only 5 item(s) left.,Product detail,Scarcity,Low-stock Message,Product Page,1
 Chargers ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
(only 5 left),Product detail,Scarcity,Low-stock Message,Product Page,1
 Eyelashes ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Pick the price that matches your budget. ,Product detail,Not Dark Pattern,Confirmshaming,Product Page,0
"Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!",Call to cancel membership,Not Dark Pattern,Hard to Cancel,Other Page,0
Child Safety,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Cosmic Rainbow ,Cart,Not Dark Pattern,Pressured Selling,Product Page,0
NRA Annual Meetings & Exhibits,Call to cancel,Not Dark Pattern,Hard to Cancel,Other Page,0
ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,19.99 becomes 38.35. Care and handling is not disclosed. The others are disclosed in small gray font.,Not Dark Pattern,Confirmshaming,Product Page,0
 Moonstone Beads ,Periodic popup,Not Dark Pattern,Activity Notification,Other Page,0
I'll Shop Without A Discount,Popup,Misdirection,Confirmshaming,Product Page,1
Only 11 Left In Stock,Product detail,Scarcity,Low-stock Message,Product Page,1
 Netherlands Antilles USD,Banner,Not Dark Pattern,Hard to Cancel,Other Page,0
Was this product description useful?YesNo,Product detail,Not Dark Pattern,Activity Notification,Product Page,0
Returns Information,Account creation,Not Dark Pattern,Hard to Cancel,Checkout Process,0
TiesToys & GamesTravelWatches,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Bought by 39 people in last few hours! HOT SELLER!,Product detail,Social Proof,Activity Notification,Product Page,1
Books and Stationery,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
Your order is reserved for 08:48 minutes!,"Conversion pirate plugin, resets",Urgency,Countdown Timer,Checkout Process,1
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,Product detail,Urgency,Low-stock Message,Product Page,1
 Bioactive Custodians ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Most-Hearted Styles Shop Now ,Banner,Not Dark Pattern,Activity Notification,Product Page,0
 Use a clean vase and clean water.,After adding to cart you're shown a full page popup,Not Dark Pattern,Countdown Timer,Product Page,0
" well, this is awkward. ",Product detail,Not Dark Pattern,Activity Notification,Product Page,0
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏,Add product to cart results in a popup asking you to also buy the Glasses,Not Dark Pattern,Pressured Selling,Product Page,0
 All Licensed ,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
Nursing chairs,Account creation,Not Dark Pattern,Pressured Selling,Cart Page,0
Only 1 Item(s) left,Product detail,Scarcity,Low-stock Message,Product Page,1
Discount pending $10 OFF 00:30:00,"Popup, and then sites in the lower right corner. The offer pops up again after expiration.",Urgency,Countdown Timer,Product Page,1
Juniors' Shoes,Doesn't tell you about the recurring charge until final review.,Not Dark Pattern,Confirmshaming,Product Page,0
Limited Time: $10 Off! Discount Reflected In Price!,Product detail,Urgency,Limited-time Message,Product Page,1
Switchers,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy ,Account creation,Not Dark Pattern,Hard to Cancel,Checkout Process,0
Ribbons,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
"By clicking Sign Up, you agree to receive marketing text messages from Southern Tide at the number provided, including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.",Call to cancel,Not Dark Pattern,Hard to Cancel,Other Page,0
IN 43 PEOPLE'S SHOPPING BAG,Product image,Social Proof,Activity Notification,Product Page,1
 Amethyst Beads ,Account creation,Not Dark Pattern,Hard to Cancel,Product Page,0
Down Jackets,Banner,Not Dark Pattern,Pressured Selling,Product Page,0
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,Product detail,Urgency,Countdown Timer,Product Page,1
"BERNARD in Philadelphia, United States purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,1
"NO THANKS, I DON’T MIND MISSING OUT",Popup,Misdirection,Confirmshaming,Product Page,1
"Hurry, only 1 left!",Product detail,Scarcity,Low-stock Message,Product Page,1
Only 26 Left,Product detail,Scarcity,Low-stock Message,Product Page,1
7 sold in last 24 hours,Above product detail. Hardcoded in JS.,Social Proof,Activity Notification,Product Page,1
Buy Wearables»,Product detail,Not Dark Pattern,Low-stock Message,Product Page,0
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,Banner,Urgency,Countdown Timer,Product Page,1
 Watercolour Brushes Toggle category Watercolour Brushes ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
LightInTheBox 掲載記事,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Clear filter,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
HURRY UP > 09H 42M 39S,Product detail,Urgency,Countdown Timer,Product Page,1
 Sweats ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Q: Will this damage my hair?,Insurance selected by default in the dropdown. The coverage price is $1.00.,Not Dark Pattern,Confirmshaming,Product Page,0
Brandon Blackwood,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
"Someone in Sasebo, Japan just bought",Periodic popup,Social Proof,Activity Notification,Product Page,1
80 Customers are considering this product right now.,Product detail,Social Proof,Activity Notification,Product Page,1
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Above product image,Social Proof,Activity Notification,Product Page,1
 End Tables,Banner across the entire website. Recurring combination of sales.,Not Dark Pattern,Countdown Timer,Other Page,0
ONLY 2 LEFT IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1
Only few items left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1
Only 1.75 yards left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1
" Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase ",On product image,Not Dark Pattern,Activity Notification,Product Page,0
71 people have purchased this item,Right side popup,Social Proof,Activity Notification,Product Page,1
Only 8 left,Product detail,Scarcity,Low-stock Message,Product Page,1
Subscribe & Save,After adding to cart you're shown a full page popup,Misdirection,Pressured Selling,Product Page,1
"We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy",Account creation,Not Dark Pattern,Hard to Cancel,Checkout Process,0
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",Periodic popup,Social Proof,Activity Notification,Product Page,1
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Periodic popup,Social Proof,Activity Notification,Product Page,1
00DAYS00HOURS14MINUTES21SECONDS,Account creation,Urgency,Hard to Cancel,Product Page,1
"Great prices, professional customer services",Popup,Not Dark Pattern,Confirmshaming,Product Page,0
Carnival Remotes,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Hurry! Only 1 left in size M!!,Product detail,Scarcity,Low-stock Message,Product Page,1
Items in your cart are in high demand.,Shown for all products,Scarcity,High-demand Message,Cart Page,1
 VIP Points! ,Call to cancel,Not Dark Pattern,Hard to Cancel,Cart Page,0
Root Touch Up + Brow Filler,Periodic popup,Not Dark Pattern,Low-stock Message,Product Page,0
Limited stock Only 2 left,Product detail,Scarcity,Low-stock Message,Product Page,1
" Looks like your cart is empty, let's fix that! ","Cart header. When ends, reloads on page refresh. Uses varinode: https://apps.shopify.com/conversion.",Not Dark Pattern,Countdown Timer,Cart Page,0
Over 500 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1
Lasers ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Choose your payment day. View your schedule and select pay now.,Banner,Not Dark Pattern,Limited-time Message,Product Page,0
Hurry up! 6 people other than you have this product in their cart,Product detail,Social Proof,Activity Notification,Product Page,1
 E-Gift Cards ,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Periodic popup,Social Proof,Activity Notification,Product Page,1
 Personalised Chocolates ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Shop Dresses by Occasion,Banner,Not Dark Pattern,Activity Notification,Product Page,0
I do not want to protect my item,Popup,Misdirection,Confirmshaming,Product Page,1
Add to Your Gift and We'll Ship it For Free!,Popup,Misdirection,Confirmshaming,Product Page,1
Wallets ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
