text,Comment,Pattern Category,Pattern Type,Where in website?,label
FLASH SALE | LIMITED TIME ONLY Shop Now,Product detail,Urgency,Limited-time Message,Product Page,1.0
Pillowcases & Shams,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Write a review,Account creation,Not Dark Pattern,Not Applicable,Product Page,0.0
"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",Email to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
 newsletter signup (privacy policy) ,Cart,Not Dark Pattern,Not Applicable,Product Page,0.0
In demand,Product detail,Scarcity,High-demand Message,Product Page,1.0
"We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",Account creation,Not Dark Pattern,Not Applicable,Checkout Process,0.0
Hurry! Only 2 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
In Stock only 3 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
International Shipping Policy,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
"Clothes, Shoes & Accessories",Doesn't tell you about the recurring charge until final review.,Not Dark Pattern,Not Applicable,Product Page,0.0
Hurry! Only 2 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Primary Arms Scopes,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
ONLY 8 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
MoTrail,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
LCD Ribbon Cables,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,Banner,Not Dark Pattern,Not Applicable,Checkout Process,0.0
OUR BEST SELLING GOGGLE,Add product to cart results in a popup asking you to also buy the Glasses,Misdirection,High-demand Message,Product Page,1.0
"1,142 people have added to cart recently",Product detail,Social Proof,Activity Notification,Product Page,1.0
Limited Availability,Product detail,Scarcity,Low-stock Message,Product Page,1.0
No thanks. I don't like free things...,Popup,Misdirection,Confirmshaming,Product Page,1.0
 read you will want to read -- Five Book Group Favourites * Sunday Post *,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
 Supply & Demand ,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
"Michael in Pontiac, United States purchased a  ",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
Bathroom Lighting,Account creation,Not Dark Pattern,Not Applicable,Product Page,0.0
 Shop Optics > ,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
9 people are viewing this.,Product detail,Social Proof,Activity Notification,Product Page,1.0
"894 Claimed! Hurry, only a few left!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
77 PEOPLE LIKE THIS,Product detail,Social Proof,Activity Notification,Product Page,1.0
Girls Trousers,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Specs,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
4 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,Popup,Urgency,Confirmshaming,Product Page,1.0
Offer ends in,Product detail,Urgency,Countdown Timer,Product Page,1.0
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Periodic popup,Social Proof,Activity Notification,Product Page,1.0
More Info,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Daystate FAC Air Rifles,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.",Call/email to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
24 sold in last 24 hours.,Product image,Social Proof,Activity Notification,Product Page,1.0
 #CERTIFIED_FACE_MASKS ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Shop the Look,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Kicks Remotes,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Only 7 left in stock.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Whey Protein Isolate,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
 Cases for Magsafe Refine by Product Type: Cases for Magsafe ,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
Product Info,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Popup,Social Proof,Confirmshaming,Product Page,1.0
 Sign In With Google ,"Clicking on the offer for free shipping without clicking ""learn more"" doesn't reveal additional costs",Not Dark Pattern,Not Applicable,Product Page,0.0
Shop All,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
 You can change your preference here Shop for Select an age ,"Call to cancel. On clicking ""Learn more"".",Not Dark Pattern,Not Applicable,Cart Page,0.0
1 in Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
 shop all ,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Low Stock Alert: Only 8 left in inventory,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Womens Platform Shoes,Doesn't tell you about the recurring charge until final review.,Not Dark Pattern,Not Applicable,Product Page,0.0
Screen print graphics,Cart,Not Dark Pattern,Not Applicable,Cart Page,0.0
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
Thin and tough - protects from minor scratches,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Kimberly R.,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
I don't feel lucky,Side wheel pop-up,Misdirection,Confirmshaming,Product Page,1.0
Only 3 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
 Butterscotch Cakes ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",Product detail,Social Proof,Low-stock Message,Product Page,1.0
Awntech New Yorker Window/Entry Slope Awnin ...,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
45 ADDED TO BAG IN THE PAST 24 HOURS,Product image,Social Proof,Activity Notification,Product Page,1.0
87% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Low-stock Message,Product Page,1.0
HURRY! £32.99 UK DELIVERY ENDS SOON,No deadline,Urgency,Limited-time Message,Product Page,1.0
ONLY 3 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
8 items left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
19 people viewed this product per day,Product detail,Social Proof,Activity Notification,Product Page,1.0
 Irwin ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
96 ITEM(S) LEFT IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
__________,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Only 1 left In Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Availability: Only 4 Left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
 Personalised Gifts ,Cart,Not Dark Pattern,Not Applicable,Cart Page,0.0
A customer service specialist will contact you soon.,Product detail,Not Dark Pattern,Not Applicable,Cart Page,0.0
Your order is reserved for 09:54 minutes!,Conversion pirate,Urgency,Countdown Timer,Checkout Process,1.0
 Screws & Other Fixings ,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
Use the domain shortly after payment,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Office Supplies & Decor,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
This size has only 1 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
